arc_id,flow_m3h
A000060,85.881
A000167,359.35
A000179,116.689
A000197,194.01
A000297,502.4
A000373,75.001
A000603,50.0
A000609,50.0
A000645,429.36
A000663,668.915
A000665,50.281
A000695,540.977
A000711,6.941
A000714,109.908
A000715,390.913
A000958,192.79
A000990,142.305
A001058,65.076
A001473,7.133
A001525,94.686
A001528,25.102
A001604,45.556
A001641,362.58
A001658,164.868
A001670,155.319
A001677,66.792
A001710,274.768
A001713,122.491
A001772,85.764
A001792,111.878
A001877,91.333
A001880,260.756
A001886,91.333
A001909,547.448
A002102,174.02
A002112,53.729
A002215,88.005
A002298,448.852
A002327,50.0
A002330,125.62
A002633,334.402
A002638,247.272
A002655,105.976
A002716,119.206
A002819,35.94
A002840,138.546
A002874,121.147
A002876,206.68
A002888,280.019
A002890,196.271
A002938,80.727
A003047,152.77
A003116,144.49
A003139,53.751
A003245,192.574
A003253,1180.894
A003323,1.303
A003346,118.073
A003347,118.073
A003350,63.506
A003352,63.506
A003617,300.62
A003631,53.34
A003633,73.256
A003683,343.792
A003806,74.782
A004038,82.59
A004039,82.59
A004125,79.95
A004290,33.63
A004419,222.678
A004453,104.818
A004456,199.71
A004463,36.343
A004468,96.703
A004483,154.422
A005158,149.507
A005213,156.497
A005221,113.123
A005226,85.697
A005293,374.263
A005356,41.929
A005380,130.211
A005394,106.381
A005466,46.67
A005498,177.483
A005513,67.908
A005535,343.86
A005644,30.834
A005659,691.543
A006174,75.001
A006325,399.933
A006327,37.383
A006329,518.02
A006342,60.674
A006370,12.408
A006428,97.126
A006455,163.127
A006711,73.486
A006812,756.679
A006814,299.65
A006821,121.287
A006876,794.761
A007005,71.57
A007007,71.57
A007039,422.89
A007042,254.135
A007116,1617.035
A007122,113.38
A007261,66.549
A007405,542.23
A007424,131.127
A007429,10.808
A007783,7.133
A007828,98.166
A007844,98.166
A008365,1373.468
A008418,1171.07
A008485,3193.77
A008486,9354.78
A008487,12548.55
A008559,868.005
A008563,2785.68
A008591,9692.724
A008592,974.846
A008593,10667.57
A008783,3733.33
A008784,7415.54
A008786,11148.87
A008970,292.059
A009031,336.406
A009152,178.594
A009197,2328.93
A009207,1061.807
A009260,300.142
A009366,351.767
A009391,1171.524
A009402,34.871
A009467,134.573
A009492,1074.288
A009511,318.288
A009525,53.079
A009606,187.295
A009749,109.662
A009776,2666.83
A009785,79.873
A009846,344.533
A009849,164.868
A009873,262.497
A009891,11.861
A010005,136.82
A010079,54.861
A010154,482.803
A010224,525.794
A010323,146.005
A010401,99.395
A010451,1843.18
A010527,345.228
A010555,133.741
A010603,1960.279
A010606,274.236
A010663,187.482
A010674,280.019
A010794,15.627
A010812,306.511
A010818,216.056
A010838,83.998
A010843,74.782
A010856,642.371
A011004,494.665
A011007,93.617
A011009,98.762
A011032,245.35
A011108,86.566
A011147,50.0
A011198,318.268
A011287,101.617
A011297,75.102
A011332,1102.212
A011335,97.791
A011425,79.95
A011431,352.793
A011462,359.35
A011635,115.506
A011646,63.256
A011707,354.64
A011747,90.507
A011864,96.703
A011888,351.767
A012072,502.543
A012113,156.07
A012200,554.624
A012343,50.0
A012475,87.495
A012600,82.59
A012601,105.094
A012610,2991.59
A012676,274.768
A013060,174.785
A013102,72.057
A013168,216.079
A013231,144.75
A013236,323.166
A013242,225.511
A013400,2.292
A013409,121.287
A013418,2027.071
A013473,209.656
A013505,72.057
A013726,5.459
A013814,8.774
A013824,73.486
A013871,889.382
A013996,199.6
A014177,83.998
A014219,23.426
A014257,123.545
A014319,155.319
A014324,359.35
A014334,354.64
