source_id,production_m3h,is_active
S_SRC_000,4018.31,1
S_SRC_001,3562.57,1
S_SRC_002,3850.45,1
S_SRC_003,3878.27,1
S_SRC_004,3271.41,1
S_SRC_005,2340.32,1
S_SRC_006,2189.13,1
S_SRC_007,3062.44,1
S_SRC_008,4051.04,1
S_SRC_009,3145.22,1
S_SRC_010,4353.1,1
S_SRC_011,3378.36,1
S_SRC_012,0.0,0
S_SRC_013,597.02,1
S_SRC_014,517.25,1
S_SRC_015,517.49,1
S_SRC_016,726.49,1
S_SRC_017,490.13,1
S_SRC_018,352.75,1
S_SRC_019,540.06,1
S_SRC_020,610.18,1
S_SRC_021,464.63,1
S_SRC_022,0.0,0
S_SRC_023,1589.3,1
S_SRC_024,0.0,0
S_SRC_025,0.0,0
S_SRC_026,0.0,0
S_SRC_027,0.0,0
S_SRC_028,0.0,0
S_SRC_029,0.0,0
S_TPL_000,1919.49,1
S_TPL_001,3030.08,1
S_TPL_002,1997.09,1
S_TPL_003,1843.18,1
S_TPL_004,0.0,0
S_TPL_005,2116.47,1
S_TPL_006,1313.22,1
S_TPL_007,0.0,0
S_TPL_008,1821.54,1
S_TPL_009,2312.17,1
S_VSR_000,67.252,1
S_VSR_001,103.55,1
S_VSR_002,100.78,1
S_VSR_003,44.61,1
S_VSR_004,189.65,1
S_VSR_005,75.2,1
S_VSR_006,93.29,1
S_VSR_007,200.71,1
S_VSR_008,49.19,1
S_VSR_009,57.13,1
S_VSR_010,188.13,1
S_VSR_011,131.72,1
S_VSR_012,123.47,1
S_VSR_013,50.0,1
S_VSR_014,30.0,1
S_VSR_015,129.621,1
S_VSR_016,264.639,1
S_VSR_017,141.81,1
S_VSR_018,30.0,1
S_VSR_019,48.68,1
S_VSR_020,63.78,1
S_VSR_021,162.45,1
S_VSR_022,50.0,1
S_VSR_023,507.09,1
S_VSR_024,98.87,1
S_VSR_025,91.206,1
S_VSR_026,139.74,1
S_VSR_027,145.47,1
S_VSR_028,91.7,1
S_VSR_029,161.22,1
S_VSR_030,31.92,1
S_VSR_031,50.0,1
S_VSR_032,82.97,1
S_VSR_033,81.23,1
S_VSR_034,72.46,1
S_VSR_035,210.46,1
S_VSR_036,85.55,1
S_VSR_037,122.55,1
S_VSR_038,234.7,1
S_VSR_039,87.19,1
S_VSR_040,96.17,1
S_VSR_041,84.37,1
S_VSR_042,120.13,1
S_VSR_043,50.0,1
S_VSR_044,134.62,1
S_VSR_045,117.74,1
S_VSR_046,99.56,1
S_VSR_047,48.54,1
S_VSR_048,224.5,1
S_VSR_049,82.17,1
S_VSR_050,30.0,1
S_VSR_051,93.23,1
S_BKP_000,0.0,0
S_BKP_001,0.0,0
S_BKP_002,0.0,0
S_BKP_003,0.0,0
S_BKP_004,0.0,0
S_BKP_005,0.0,0
S_BKP_006,0.0,0
S_BKP_007,0.0,0
S_BKP_008,0.0,0
S_BKP_009,0.0,0
S_BKP_010,0.0,0
S_BKP_011,0.0,0
S_BKP_012,0.0,0
S_BKP_013,0.0,0
S_BKP_014,0.0,0
S_BKP_015,0.0,0
S_BKP_016,0.0,0
S_BKP_017,0.0,0
S_BKP_018,0.0,0
S_BKP_019,0.0,0
S_BKP_020,0.0,0
S_BKP_021,0.0,0
S_BKP_022,0.0,0
S_BKP_023,0.0,0
S_BKP_024,0.0,0
S_BKP_025,0.0,0
S_BKP_026,0.0,0
S_BKP_027,0.0,0
S_BKP_028,0.0,0
S_BKP_029,0.0,0
S_BKP_030,0.0,0
S_BKP_031,0.0,0
S_BKP_032,0.0,0
S_BKP_033,0.0,0
S_BKP_034,0.0,0
S_BKP_035,0.0,0
S_BKP_036,0.0,0
S_BKP_037,0.0,0
S_BKP_038,0.0,0
S_BKP_039,0.0,0
S_BKP_040,0.0,0
S_BKP_041,0.0,0
S_BKP_042,0.0,0
S_BKP_043,0.0,0
S_BKP_044,0.0,0
S_BKP_045,0.0,0
S_BKP_046,0.0,0
S_BKP_047,0.0,0
S_BKP_048,0.0,0
S_BKP_049,0.0,0
S_BKP_050,0.0,0
S_BKP_051,0.0,0
S_BKP_052,0.0,0
S_BKP_053,0.0,0
S_BKP_054,0.0,0
