tank_id,fill_rate_m3h,discharge_rate_m3h,end_volume_m3,min_level_shortfall_m3,critical_level_shortfall_m3,depletion_vs_initial_m3
T_TNK_0000,0.0,1.1282,1131.402,0.0,0.0,27.078
T_TNK_0001,0.0,0.0,2720.35,0.0,0.0,0.0
T_TNK_0002,0.0,0.0,1004.54,0.0,0.0,0.0
T_TNK_0003,0.0,0.0,985.86,0.0,0.0,0.0
T_TNK_0004,0.0,0.0,407.53,0.0,0.0,0.0
T_TNK_0005,0.0,0.0,1182.27,0.0,0.0,0.0
T_TNK_0006,0.0,0.0,718.32,0.0,0.0,0.0
T_TNK_0007,0.0,65.723,1985.418,0.0,0.0,1577.352
T_TNK_0008,0.0,0.0,1233.14,0.0,0.0,0.0
T_TNK_0009,0.0,0.0,587.51,0.0,0.0,0.0
T_TNK_0010,0.0,0.0,690.88,0.0,0.0,0.0
T_TNK_0011,0.0,0.0,422.07,0.0,0.0,0.0
T_TNK_0012,0.0,0.0,2393.57,0.0,0.0,0.0
T_TNK_0013,0.0,0.0,883.83,0.0,0.0,0.0
T_TNK_0014,0.0,0.0,2528.77,0.0,0.0,0.0
T_TNK_0015,0.0,0.0,1391.78,0.0,0.0,0.0
T_TNK_0016,0.0,15.644,619.224,0.0,0.0,375.456
T_TNK_0017,0.0,0.0,2202.05,0.0,0.0,0.0
T_TNK_0018,0.0,0.0,3178.22,0.0,0.0,0.0
T_TNK_0019,0.0,7.42,3856.01,0.0,0.0,178.08
T_TNK_0020,0.0,0.0,751.27,0.0,0.0,0.0
T_TNK_0021,0.0,4.8923,644.984,0.0,0.0,117.416
T_TNK_0022,0.0,0.0,4831.37,0.0,0.0,0.0
T_TNK_0023,0.0,0.0,327.2,0.0,0.0,0.0
T_TNK_0024,0.0,0.0,24841.8,0.0,0.0,0.0
T_TNK_0025,0.0,0.0,5206.47,0.0,0.0,0.0
T_TNK_0026,0.0,0.0,1200.72,0.0,0.0,0.0
T_TNK_0027,0.0,0.0,836.65,0.0,0.0,0.0
T_TNK_0028,0.0,0.0,1690.31,0.0,0.0,0.0
T_TNK_0029,0.0,0.0,343.38,0.0,0.0,0.0
T_TNK_0030,0.0,0.0,720.43,0.0,0.0,0.0
T_TNK_0031,0.0,37.9471,887.31,0.0,0.0,910.73
T_TNK_0032,0.0,0.0,2528.92,0.0,0.0,0.0
T_TNK_0033,0.0,0.0,28121.91,0.0,0.0,0.0
T_TNK_0034,0.0,0.0,434.65,0.0,0.0,0.0
T_TNK_0035,0.0,0.0,710.75,0.0,0.0,0.0
T_TNK_0036,0.0,0.0,2685.79,0.0,0.0,0.0
T_TNK_0037,0.0,0.0,5299.09,0.0,0.0,0.0
T_TNK_0038,0.0,0.0,909.28,0.0,0.0,0.0
T_TNK_0039,0.0,0.0,5153.86,0.0,0.0,0.0
T_TNK_0040,0.0,0.0,251.82,0.0,0.0,0.0
T_TNK_0041,0.0,0.0,1138.55,0.0,0.0,0.0
T_TNK_0042,0.0,0.0,1688.65,0.0,0.0,0.0
T_TNK_0043,0.0,0.0,227.79,0.0,0.0,0.0
T_TNK_0044,0.0,0.0,702.22,0.0,0.0,0.0
T_TNK_0045,0.0,0.0,533.14,0.0,0.0,0.0
T_TNK_0046,0.0,0.0,844.81,0.0,0.0,0.0
T_TNK_0047,0.0,0.0,1634.02,0.0,0.0,0.0
T_TNK_0048,0.0,0.0,492.88,0.0,0.0,0.0
T_TNK_0049,0.0,35.293,3351.118,0.0,0.0,847.032
T_TNK_0050,0.0,26.3817,412.34,0.0,0.0,633.16
T_TNK_0051,0.0,0.0,774.44,0.0,0.0,0.0
T_TNK_0052,0.0,0.0,2454.29,0.0,0.0,0.0
T_TNK_0053,0.0,34.3604,664.88,0.0,0.0,824.65
T_TNK_0054,0.0,0.0,1237.0,0.0,0.0,0.0
T_TNK_0055,0.0,0.0,5092.49,0.0,0.0,0.0
T_TNK_0056,0.0,0.0,5108.1,0.0,0.0,0.0
T_TNK_0057,0.0,0.0,592.16,0.0,0.0,0.0
T_TNK_0058,0.0,0.0,347.07,0.0,0.0,0.0
T_TNK_0059,0.0,0.0,796.47,0.0,0.0,0.0
T_TNK_0060,0.0,117.0696,3075.01,0.0,0.0,2809.67
T_TNK_0061,0.0,0.0,1205.57,0.0,0.0,0.0
T_TNK_0062,0.0,0.0,18911.8,0.0,0.0,0.0
T_TNK_0063,0.0,0.0,2964.51,0.0,0.0,0.0
T_TNK_0064,0.0,8.3668,4971.196,0.0,0.0,200.804
T_TNK_0065,0.0,0.0,1178.37,0.0,0.0,0.0
T_TNK_0066,0.0,0.0,2340.83,0.0,0.0,0.0
T_TNK_0067,0.0,0.0,1772.24,0.0,0.0,0.0
T_TNK_0068,0.0,12.765,3865.81,0.0,0.0,306.36
T_TNK_0069,0.0,0.0,1902.01,0.0,0.0,0.0
T_TNK_0070,0.0,5.245,123.88,0.0,0.0,125.88
T_TNK_0071,0.0,0.0,2095.9,0.0,0.0,0.0
T_TNK_0072,0.0,0.0,242.45,0.0,0.0,0.0
T_TNK_0073,0.0,0.0,2390.63,0.0,0.0,0.0
T_TNK_0074,0.0,0.0,924.47,0.0,0.0,0.0
T_TNK_0075,0.0,0.0,3236.56,0.0,0.0,0.0
T_TNK_0076,0.0,0.0,1317.8,0.0,0.0,0.0
T_TNK_0077,0.0,0.0,1911.19,0.0,0.0,0.0
T_TNK_0078,0.0,0.0,1183.09,0.0,0.0,0.0
T_TNK_0079,0.0,0.0,934.77,0.0,0.0,0.0
T_TNK_0080,0.0,104.541,4469.006,0.0,0.0,2508.984
T_TNK_0081,0.0,31.0546,471.95,0.0,0.0,745.31
T_TNK_0082,0.0,0.0,810.87,0.0,0.0,0.0
T_TNK_0083,0.0,0.0,623.83,0.0,0.0,0.0
T_TNK_0084,0.0,0.0,1004.91,0.0,0.0,0.0
T_TNK_0085,0.0,0.0,675.7,0.0,0.0,0.0
T_TNK_0086,0.0,0.0,979.21,0.0,0.0,0.0
T_TNK_0087,0.0,0.0,1040.47,0.0,0.0,0.0
T_TNK_0088,0.0,0.0,5686.72,0.0,0.0,0.0
T_TNK_0089,0.0,0.0,7277.8,0.0,0.0,0.0
T_TNK_0090,0.0,0.0,2315.09,0.0,0.0,0.0
T_TNK_0091,0.0,0.0,517.68,0.0,0.0,0.0
T_TNK_0092,0.0,0.0,894.66,0.0,0.0,0.0
T_TNK_0093,0.0,0.0,1062.11,0.0,0.0,0.0
T_TNK_0094,0.0,0.0,619.48,0.0,0.0,0.0
T_TNK_0095,0.0,0.0,1898.28,0.0,0.0,0.0
T_TNK_0096,0.0,11.154,1165.854,0.0,0.0,267.696
T_TNK_0097,0.0,0.0,813.47,0.0,0.0,0.0
T_TNK_0098,0.0,0.0,715.91,0.0,0.0,0.0
T_TNK_0099,0.0,0.0,1035.47,0.0,0.0,0.0
T_TNK_0100,0.0,0.0,646.18,0.0,0.0,0.0
T_TNK_0101,0.0,0.0,485.61,0.0,0.0,0.0
T_TNK_0102,0.0,2.2095,18770.632,0.0,0.0,53.028
T_TNK_0103,0.0,0.0,3810.84,0.0,0.0,0.0
T_TNK_0104,0.0,0.0,13005.75,0.0,0.0,0.0
T_TNK_0105,0.0,0.0,471.36,0.0,0.0,0.0
T_TNK_0106,0.0,0.0,1752.71,0.0,0.0,0.0
T_TNK_0107,0.0,0.0,4776.0,0.0,0.0,0.0
T_TNK_0108,0.0,72.4027,7802.514,0.0,0.0,1737.666
T_TNK_0109,0.0,0.0,652.13,0.0,0.0,0.0
T_TNK_0110,0.0,0.0,521.28,0.0,0.0,0.0
T_TNK_0111,0.0,0.0,766.25,0.0,0.0,0.0
T_TNK_0112,0.0,0.0,478.31,0.0,0.0,0.0
T_TNK_0113,0.0,0.0,1392.95,0.0,0.0,0.0
T_TNK_0114,0.0,0.0,228.35,0.0,0.0,0.0
T_TNK_0115,0.0,0.0,478.3,0.0,0.0,0.0
T_TNK_0116,0.0,0.0,1579.93,0.0,0.0,0.0
T_TNK_0117,0.0,0.0,986.24,0.0,0.0,0.0
T_TNK_0118,0.0,0.0,1226.45,0.0,0.0,0.0
T_TNK_0119,0.0,0.0,698.05,0.0,0.0,0.0
T_TNK_0120,0.0,0.0,2729.75,0.0,0.0,0.0
T_TNK_0121,0.0,0.0,512.68,0.0,0.0,0.0
T_TNK_0122,0.0,0.0,22951.78,0.0,0.0,0.0
T_TNK_0123,0.0,32.539,1236.904,0.0,0.0,780.936
T_TNK_0124,0.0,0.0,985.32,0.0,0.0,0.0
T_TNK_0125,0.0,0.0,516.27,0.0,0.0,0.0
T_TNK_0126,0.0,0.0,535.55,0.0,0.0,0.0
T_TNK_0127,0.0,0.0,711.86,0.0,0.0,0.0
T_TNK_0128,0.0,0.0,380.52,0.0,0.0,0.0
T_TNK_0129,0.0,0.0,451.74,0.0,0.0,0.0
T_TNK_0130,0.0,0.0,199.91,0.0,0.0,0.0
T_TNK_0131,0.0,0.0,762.2,0.0,0.0,0.0
T_TNK_0132,0.0,0.0,489.77,0.0,0.0,0.0
T_TNK_0133,0.0,0.0,1560.19,0.0,0.0,0.0
T_TNK_0134,0.0,0.0,492.16,0.0,0.0,0.0
T_TNK_0135,0.0,0.0,9488.14,0.0,0.0,0.0
T_TNK_0136,0.0,0.0,566.56,0.0,0.0,0.0
T_TNK_0137,0.0,9.93,864.12,0.0,0.0,238.32
T_TNK_0138,0.0,24.2517,740.52,0.0,0.0,582.04
T_TNK_0139,0.0,0.0,945.37,0.0,0.0,0.0
T_TNK_0140,0.0,0.0,679.27,0.0,0.0,0.0
T_TNK_0141,0.0,0.0,4774.06,0.0,0.0,0.0
T_TNK_0142,0.0,0.0,2684.16,0.0,0.0,0.0
T_TNK_0143,0.0,0.0,1013.19,0.0,0.0,0.0
